variable	mean	median	sd	mad	q5	q95	rhat	ess_bulk	ess_tail	hap	q2.5	q97.5
growth_rate[240]	1.38700130125	1.387115	0.013356420448239	0.013350813	1.3648195	1.40904	1.00185739808086	1814.34599519315	4346.22141722887	hap_temp_766	1.36040825	1.41283025
growth_rate[15]	1.38687162875	1.38683	0.006942147029943	0.006864438	1.37547	1.39827	1.00860065521804	491.92030119562	1187.6286059047	hap_temp_732	1.37339	1.4006505
growth_rate[94]	1.38597988125	1.3861	0.008859859621487	0.008732514	1.3712375	1.4005405	1.00488736727279	771.272186520042	2033.44886364707	hap_temp_1647	1.368579	1.4031305
growth_rate[41]	1.38578641125	1.38571	0.007568102421027	0.00748713	1.3733095	1.398181	1.00665378606024	581.340340814647	1409.00437651394	hap_temp_1200	1.37076975	1.40074025
growth_rate[224]	1.38343035375	1.383465	0.013488485231544	0.013476834	1.3610195	1.40533	1.00273768328184	1472.09995275932	3489.43556907115	hap_temp_1218	1.3568495	1.4090405
growth_rate[105]	1.3833103325	1.3833	0.009019617720692	0.00896973	1.3681495	1.397792	1.00407404074895	849.113238635612	1908.66219560493	hap_temp_1072	1.36493975	1.4009
growth_rate[252]	1.38311826875	1.38261	0.014303075427547	0.014121765	1.3601095	1.4067605	1.00246468996689	1643.56236065887	3467.31683660233	hap_temp_911	1.355649	1.41163025
growth_rate[245]	1.382226625	1.38246	0.016414928838422	0.016345665	1.3550495	1.409462	1.00259637363271	1843.41373747026	2971.52745363945	hap_temp_580	1.3502275	1.41473125
growth_rate[207]	1.38016402875	1.380225	0.013608064018532	0.013662159	1.3580785	1.4027405	1.00175606901483	1816.91566889686	3931.68256110888	hap_temp_1097	1.3536895	1.40694
growth_rate[168]	1.37762177125	1.37778	0.011354506097857	0.011460498	1.3586195	1.396031	1.00365639290725	1193.24799906594	3206.07890368897	hap_temp_1280	1.35508925	1.39955
growth_rate[121]	1.376074395	1.37611	0.009638706721723	0.009518292	1.3600595	1.3921105	1.00349512226805	938.157731513771	2112.78275123518	hap_temp_1284	1.35735	1.39533
